TOPICS,DEMOCRATIC LINKS,REPUBLICAN LINKS
BANKING/  FINANCIAL SECTOR REGULATION,http://www.ontheissues.org/Democratic_Party.htm#Corporations,http://www.gop.com/our-party/
Bank bailouts / deregulation of Wall St.,                http://www.democrats.org/issues/economy_and_job_creation#more,http://www.ontheissues.org/Republican_Party.htm#Budget_+_Economy
Unregulated free markets,,
Offshore bank accounts,,
,,
,,
CAPITAL PUNISHMENT,http://www.ontheissues.org/Democratic_Party.htm#Crime,http://www.ontheissues.org/Republican_Party.htm#Crime
,,
,,
CONGRESS MEMBERS’ OWN SALARY INCREASES & HEALTH CARE PROGRAMS:,http://articles.latimes.com/2013/dec/01/nation/la-na-lawmakers-health-plans-20131201,http://articles.latimes.com/2013/dec/01/nation/la-na-lawmakers-health-plans-20131201
,,
,,
ECONOMY & JOBS,http://www.democrats.org/issues/economy_and_job_creation#more,http://www.gop.com/our-party/
Citizens United : “Corporations are People.”,               http://www.ontheissues.org/Democratic_Party.htm#Government_Reform,                http://www.ontheissues.org/Republican_Party.htm#Government_Reform
Koch Brothers,               http://www.ontheissues.org/Democratic_Party.htm#Budget_+_Economy,                http://www.republicanviews.org/republican-views-on-the-economy/ 
Privatization   vs.   government-run programs,               http://www.ontheissues.org/Democratic_Party.htm#Jobs,
Deficit Spending,,
"Subsidies  - - What is a subsidy, anyway?      ",,
 Corporate Subsidies,,
 Pharmaceutical Industry,,
 Subsidies to Oil industry (“helping Big Oil”),,
 Subsidies to Farm industry,,
Jobs / Employment  / Unemployment,,
Trickle-down economics,,
 Unions,,
 Outsourcing jobs by corporations,,
 Citizens United Supreme Court decision,,
 Tort reform,,
 Caps on malpractice awards,,
 Lobbying  ,,
 Debt ceiling    ,,
 Food Stamps - SNAP,,
 Minimum wage,,
 Lily Ledbetter - equal pay for women,,
 Private grants for welfare services,,
 Unions,,
,,
,,
EDUCATION,http://www.ontheissues.org/Democratic_Party.htm#Education,http://www.gop.com/our-party/
Head Start,,http://www.republicanviews.org/republican-views-on-education/
Common Core,,http://www.ontheissues.org/Republican_Party.htm#Education
Teach creationism in school,,
Sex ed in school,,
Bi-lingual education,,
Teachers’ unions,,
Fed. funding for schools,,
Pre-school supports,,
,,
,,
ELECTION SPENDING:,,
Super PACs,,
Citizens United,,
Campaign donation limits,,
